datetime,000651.SZ,002294.SZ,002572.SZ,300376.SZ,300498.SZ,601318.SH,cash,commission,total,returns,equity_curve,drawdown
2017-08-24,0.0,0.0,0.0,0.0,0.0,17851.30375598827,86921.55497728713,197.63499999999996,104772.8587332754,-0.0008647312677612096,1.0477285873327546,0.028073790882091387
2017-08-25,0.0,0.0,0.0,0.0,0.0,18081.24639966915,86921.55497728713,197.63499999999996,105002.80137695628,0.002194677576434767,1.0500280137695635,0.025774364445282583
2017-08-28,0.0,0.0,0.0,0.0,0.0,18201.070819559754,86921.55497728713,197.63499999999996,105122.62579684689,0.0011411545055872718,1.0512262579684695,0.024576120246376565
2017-08-29,0.0,0.0,0.0,0.0,0.0,18479.583605240656,86921.55497728713,197.63499999999996,105401.13858252778,0.002649408569941336,1.0540113858252784,0.02179099238956761
2017-08-30,0.0,0.0,0.0,0.0,0.0,18269.064188809756,86921.55497728713,197.63499999999996,105190.61916609689,-0.00199731634081024,1.0519061916609695,0.023896186553876486
2017-08-31,0.0,0.0,0.0,0.0,0.0,18146.003772433935,86921.55497728713,197.63499999999996,105067.55874972107,-0.0011698801409421034,1.0506755874972113,0.025126790717634684
2017-09-01,0.0,0.0,0.0,0.0,14141.400013919509,18191.350635861247,72582.19053385041,204.08299999999997,104914.94118363118,-0.0014525660242419303,1.0491494118363125,0.026652966378533538
2017-09-04,0.0,0.0,0.0,0.0,13974.588059355314,18021.42522957167,72582.19053385041,204.08299999999997,104578.2038227774,-0.00320962254808288,1.0457820382277747,0.03002033998707132
2017-09-05,0.0,0.0,0.0,0.0,14110.504902820601,18393.946110492147,72582.19053385041,204.08299999999997,105086.64154716316,0.004861794387359897,1.0508664154716323,0.024935962743213747
2017-09-06,0.0,0.0,0.0,0.0,14042.548711208616,18103.119428539154,72582.19053385041,204.08299999999997,104727.85867359818,-0.0034141625261090436,1.0472785867359824,0.028523791478863636
2017-09-07,0.0,0.0,0.0,0.0,14005.476382611025,0.0,90681.13696238957,208.25599999999997,104686.6133450006,-0.00039383339944076834,1.0468661334500067,0.02893624476483936
2017-09-08,0.0,0.0,0.0,0.0,14135.209110343152,0.0,90681.13696238957,208.25599999999997,104816.34607273273,0.0012392484921122104,1.048163460727328,0.02763891748751801
